drug_a	drug_b	cell_line	label	fold
AZD7762	MK-2206	HCC1954	0	1
Taselisib	Dabrafenib	MFM-223	0	1
MK-1775	LGK974	PANC-04-03	0	1
Docetaxel	Pictilisib	EVSA-T	0	2
Axitinib	Palbociclib	EVSA-T	0	2
PD173074	Doramapimod	HCC1937	0	2
Linsitinib	LGK974	AsPC-1	0	2
Navitoclax	AZD7762	BT-20	0	2
Vinorelbine	Linsitinib	LoVo	0	2
Gemcitabine	Lapatinib	BT-20	0	2
Oxaliplatin	AZD7762	SW837	0	2
Olaparib	JQ1	BT-20	0	2
Bortezomib	Linsitinib	EFM-192A	0	2
Dabrafenib	Palbociclib	SW1463	0	2
SB505124	Olaparib	LoVo	0	2
MK-1775	NU7441	EFM-19	0	2
Trametinib	Entinostat	BT-20	0	2
PD173074	Gemcitabine	MCF7	0	2
Pictilisib	Olaparib	EFM-192A	0	2
Pictilisib	AZD7762	EFM-19	0	2
Trametinib	SB216763	LS-411N	0	2
Lapatinib	Sapitinib	MCF7	0	2
Gemcitabine	Linsitinib	EFM-192A	0	2
Cisplatin	Bortezomib	BT-20	0	2
MK-1775	Pictilisib	HCC1937	0	2
Gemcitabine	SCH772984	PA-TU-8902	0	2
Palbociclib	Navitoclax	EVSA-T	0	2
Trametinib	OSI-027	MDA-MB-361	0	2
Olaparib	Afatinib	EFM-192A	0	2
Temozolomide	BI-2536	MCF7	0	2
MK-2206	Taselisib	SW48	0	2
Oxaliplatin	Olaparib	SNU-C2B	0	2
Trametinib	OSI-027	Hs-766T	0	2
Taselisib	Navitoclax	EFM-192A	1	2
OSI-027	Tozasertib	EFM-19	0	2
Galunisertib	Olaparib	PANC-10-05	0	2
Vorinostat	Navitoclax	EFM-19	0	2
SB216763	AZD8055	SW837	0	2
OSI-027	Olaparib	MCF7	0	2
SB505124	Vinorelbine	HT55	0	2
Vorinostat	KU-55933	MCF7	0	2
Palbociclib	Wee1 Inhibitor	MCF7	0	2
MK-2206	Erlotinib	PA-TU-8902	0	2
LGK974	Ruxolitinib	PANC-10-05	0	2
MK-2206	PD173074	HCC1419	0	2
OSI-027	AZD7762	EFM-192A	0	2
MK-2206	Wee1 Inhibitor	BT-20	0	2
Trametinib	Sapitinib	MDA-MB-361	0	2
Docetaxel	Sapitinib	HCC1937	0	2
AZD4547	Palbociclib	SNU-C2B	0	2
5-Fluorouracil	Axitinib	EFM-19	0	2
Irinotecan	Dactolisib	CAPAN-1	0	2
Palbociclib	Crizotinib	PANC-02-03	0	2
SB216763	Taselisib	SW1463	0	2
Olaparib	Wee1 Inhibitor	HCC1419	0	2
Oxaliplatin	BMS-754807	SW48	0	2
LGK974	Sorafenib	Hs-766T	0	2
PD173074	Nilotinib	MCF7	1	2
Axitinib	BI-2536	BT-20	0	2
Taselisib	BMS-754807	SNU-C2B	0	2
5-Fluorouracil	Linsitinib	PANC-10-05	0	2
Bortezomib	Sorafenib	EVSA-T	0	2
Trametinib	5-Fluorouracil	HCC1937	0	2
LGK974	Trametinib	CAPAN-1	0	2
Vinorelbine	Navitoclax	SNU-C2B	1	2
Temozolomide	Venetoclax	EFM-19	0	2
Bortezomib	Doramapimod	MDA-MB-361	0	2
Trametinib	Sapitinib	BT-20	1	2
Crizotinib	Vinorelbine	SW1417	0	2
Axitinib	Docetaxel	MDA-MB-361	0	2
Gemcitabine	PF-4708671	HCC1937	0	2
Linsitinib	Trametinib	HCC1419	0	2
Cisplatin	Lapatinib	Hs-766T	0	2
Gemcitabine	Palbociclib	AsPC-1	0	2
AZD7762	Gemcitabine	MDA-MB-361	1	2
MK-2206	Navitoclax	PANC-10-05	0	2
5-Fluorouracil	Doramapimod	HCC1419	0	2
Crizotinib	Taselisib	PANC-10-05	0	2
AZD7762	Bortezomib	HCC2218	0	2
PD173074	Gemcitabine	EVSA-T	1	2
MK-2206	Entinostat	MCF7	0	2
Ruxolitinib	Taselisib	PANC-03-27	0	2
LGK974	Olaparib	HT55	0	2
AZD4547	Trametinib	LoVo	0	2
LGK974	AZD4547	SW837	0	2
Bortezomib	Olaparib	EFM-192A	0	2
Taselisib	Crizotinib	PANC-02-03	0	2
Cisplatin	Erlotinib	PANC-10-05	0	2
OSI-027	KU-55933	HCC2218	0	2
Axitinib	Venetoclax	HCC1419	0	2
SB216763	Afatinib	SW48	0	2
BMS-754807	Camptothecin	RKO	0	2
Olaparib	Tozasertib	HCC2218	0	2
OSI-027	Lapatinib	AsPC-1	0	2
Bortezomib	MK-2206	BT-20	0	2
SCH772984	Taselisib	SNU-C2B	0	2
Temozolomide	Navitoclax	HCC2218	0	2
PD173074	MK-2206	BT-20	0	2
Erlotinib	Dactolisib	PANC-03-27	0	2
Temozolomide	ZM447439	HCC2218	0	2
MK-2206	BMS-754807	LoVo	0	2
Navitoclax	Entinostat	EFM-192A	0	2
Linsitinib	Oxaliplatin	RKO	0	2
Linsitinib	Sorafenib	MDA-MB-361	0	2
Lapatinib	Doramapimod	EFM-19	0	2
Vorinostat	Trametinib	MCF7	0	2
Lapatinib	Trametinib	EFM-19	0	2
MK-2206	AZD6482	EFM-19	0	2
Olaparib	5-Fluorouracil	MCF7	0	2
Vorinostat	Doramapimod	MCF7	0	2
Linsitinib	NU7441	HCC1419	0	2
MK-1775	Crizotinib	BT-20	0	2
Crizotinib	AZD7762	PANC-10-05	0	2
Vorinostat	5-Fluorouracil	EVSA-T	0	2
PD173074	Crizotinib	HCC1419	0	2
Trametinib	Camptothecin	SW1463	0	2
Cisplatin	Sorafenib	EVSA-T	0	2
Axitinib	Camptothecin	EFM-192A	0	2
MK-1775	Linsitinib	SW1463	0	2
Gemcitabine	Linsitinib	HCC1937	0	2
Axitinib	Olaparib	EVSA-T	0	2
Cisplatin	BI-2536	MCF7	0	2
5-Fluorouracil	Sapitinib	LS-411N	0	2
Cisplatin	Palbociclib	PA-TU-8902	0	2
Olaparib	Pictilisib	MDA-MB-361	0	2
Galunisertib	SCH772984	PANC-10-05	0	2
Cisplatin	Nilotinib	HCC1937	0	2
Taselisib	Trametinib	HT55	0	2
MK-2206	Navitoclax	SW1463	0	2
Taselisib	MK-2206	PANC-03-27	0	2
Axitinib	Uprosertib	HCC1419	0	2
SCH772984	5-Fluorouracil	LS-411N	0	2
Olaparib	ZM447439	EVSA-T	0	2
Crizotinib	Sorafenib	EVSA-T	0	2
Olaparib	GSK269962A	BT-20	0	2
Lapatinib	MK-1775	EFM-19	0	2
Trametinib	Camptothecin	EVSA-T	0	2
Linsitinib	Entinostat	HCC2218	1	2
Crizotinib	AZD7762	Hs-766T	0	2
Lapatinib	AZD7762	BT-20	0	2
Trametinib	Uprosertib	EFM-19	0	2
Luminespib	Ribociclib	HCC1419	0	2
SCH772984	MK-1775	LoVo	0	2
5-Fluorouracil	Wee1 Inhibitor	HCC1419	0	2
Temozolomide	Alpelisib	EFM-192A	0	2
Linsitinib	Palbociclib	CAPAN-1	0	2
Axitinib	SCH772984	MCF7	1	2
Lapatinib	Afatinib	HCC2218	0	2
PD173074	Nilotinib	HCC1419	0	2
Sapitinib	Nilotinib	HCC1419	0	2
AZD7762	JQ1	HCC1937	0	2
5-Fluorouracil	AZD6482	EFM-19	0	2
LGK974	Ruxolitinib	PANC-02-03	0	2
Axitinib	5-Fluorouracil	EFM-192A	0	2
OSI-027	Galunisertib	PANC-10-05	0	2
MK-1775	Luminespib	BT-20	0	2
Olaparib	MK-1775	HCC2218	0	2
Vinorelbine	MK-1775	SW1417	0	2
MK-1775	Lapatinib	AsPC-1	0	2
Palbociclib	BMS-754807	LoVo	0	2
Cisplatin	Dabrafenib	HCC1937	0	2
Pictilisib	Camptothecin	MCF7	0	2
Axitinib	MK-2206	HCC2218	0	2
Sapitinib	Alpelisib	HCC2218	0	2
Temozolomide	Pictilisib	EFM-19	0	2
AZD7762	MK-1775	PANC-03-27	0	2
Axitinib	PF-4708671	HCC1937	0	2
Taselisib	Linsitinib	LoVo	0	2
Gemcitabine	Galunisertib	PANC-02-03	0	2
SCH772984	Palbociclib	LoVo	0	2
Taselisib	Alpelisib	EFM-192A	0	2
Temozolomide	Cisplatin	HCC1419	0	2
Navitoclax	Vorinostat	EVSA-T	0	2
Linsitinib	Pictilisib	HCC2218	0	2
Trametinib	Sapitinib	EVSA-T	0	2
Palbociclib	Oxaliplatin	LoVo	0	2
Linsitinib	Luminespib	HCC2218	0	2
Erlotinib	Oxaliplatin	PANC-10-05	0	2
MK-1775	Palbociclib	BT-20	0	2
Vorinostat	MK-1775	HCC1937	0	2
Crizotinib	ZM447439	EVSA-T	0	2
Olaparib	Tozasertib	BT-20	0	2
Palbociclib	SB505124	HT55	0	2
Trametinib	MK-2206	MDA-MB-361	0	2
Taselisib	Temozolomide	EVSA-T	0	2
PD173074	Wee1 Inhibitor	EFM-192A	0	2
Bortezomib	RO-3306	HCC2218	0	2
Oxaliplatin	Ruxolitinib	AsPC-1	0	2
Sapitinib	SCH772984	BT-20	0	2
MK-1775	AZD8055	MDA-MB-361	0	2
Temozolomide	Pictilisib	MDA-MB-361	0	2
Pictilisib	Camptothecin	HCC1419	0	2
LGK974	Crizotinib	Hs-766T	0	2
Crizotinib	Alisertib	EFM-192A	0	2
Axitinib	Gemcitabine	MDA-MB-361	0	2
MK-2206	Nilotinib	EFM-192A	0	2
SCH772984	Palbociclib	PANC-03-27	0	2
Temozolomide	Alpelisib	EFM-19	0	2
Taselisib	Alpelisib	MCF7	0	2
Paclitaxel	Sorafenib	PA-TU-8902	0	2
Olaparib	PF-4708671	EVSA-T	0	2
5-Fluorouracil	SB216763	LS-411N	0	2
Taselisib	RO-3306	EFM-19	0	2
BMS-754807	Dabrafenib	RKO	0	2
Olaparib	Dabrafenib	HCC1419	0	2
SCH772984	MK-2206	Hs-766T	0	2
Lapatinib	Sorafenib	PANC-10-05	1	2
5-Fluorouracil	Wee1 Inhibitor	MDA-MB-361	0	2
Palbociclib	LGK974	SW48	0	2
5-Fluorouracil	Lapatinib	CAPAN-1	0	2
5-Fluorouracil	Sorafenib	MDA-MB-361	0	2
MK-2206	Linsitinib	HT55	0	2
Palbociclib	Linsitinib	HCC1937	0	2
LGK974	5-Fluorouracil	AsPC-1	0	2
5-Fluorouracil	Doramapimod	HCC2218	0	2
Luminespib	AZD7762	BT-20	0	2
LGK974	Trametinib	SW1417	0	2
Crizotinib	Doramapimod	MCF7	0	2
AZD7762	Doramapimod	EVSA-T	0	2
Navitoclax	Crizotinib	EVSA-T	0	2
Cisplatin	Irinotecan	CAPAN-1	0	2
Lapatinib	LGK974	PANC-03-27	0	2
AZD7762	Crizotinib	SW48	0	2
Trametinib	Taselisib	HCC2218	1	2
Linsitinib	AZD7762	SW1417	0	2
5-Fluorouracil	Crizotinib	LoVo	0	2
Olaparib	Ruxolitinib	CAPAN-1	0	2
Crizotinib	Taselisib	SW48	0	2
Olaparib	Trametinib	HCC1937	0	2
AZD8055	AZD4547	HT55	0	2
Palbociclib	Sapitinib	SNU-C2B	0	2
Irinotecan	LGK974	AsPC-1	0	2
Taselisib	Galunisertib	CAPAN-1	0	2
Taselisib	Sorafenib	PANC-02-03	0	2
Taselisib	AZD4547	SW1463	0	2
Bortezomib	Nilotinib	EFM-19	0	2
Vorinostat	Cisplatin	EFM-192A	0	2
Gemcitabine	Navitoclax	EFM-192A	1	2
Crizotinib	Camptothecin	EFM-19	0	2
MK-2206	NU7441	BT-20	0	2
Pictilisib	Entinostat	HCC2218	0	2
Palbociclib	Trametinib	EFM-19	0	2
AZD7762	Lapatinib	EFM-19	0	2
Camptothecin	BMS-754807	SW1463	0	2
Axitinib	Luminespib	EFM-192A	0	2
MK-2206	Paclitaxel	HCC1419	0	2
Sapitinib	Pictilisib	HCC2218	1	2
Dactolisib	AZD7762	PANC-03-27	0	2
Crizotinib	Camptothecin	LoVo	0	2
MK-1775	Lapatinib	HCC1419	0	2
Sapitinib	Palbociclib	SW48	0	2
Afatinib	Camptothecin	LoVo	0	2
MK-1775	JQ1	EFM-19	0	2
Palbociclib	AZD8055	MDA-MB-361	0	2
MK-2206	AZD6482	MDA-MB-361	0	2
LGK974	5-Fluorouracil	SW837	0	2
PD173074	AZD7762	BT-20	0	2
5-Fluorouracil	Sapitinib	EFM-192A	0	2
AZD8055	Crizotinib	SW48	0	2
Trametinib	Linsitinib	HCC1419	0	2
Dasatinib	Trametinib	PANC-02-03	0	2
AZD7762	Camptothecin	SW1417	1	2
MK-1775	AZD7762	SW48	1	2
Cisplatin	OSI-027	MCF7	0	2
Sorafenib	Linsitinib	Hs-766T	0	2
Luminespib	RO-3306	MDA-MB-361	0	2
Dabrafenib	Crizotinib	SW1417	0	2
Taselisib	Cisplatin	EFM-19	0	2
MK-2206	SB505124	SW1417	0	2
Olaparib	OSI-027	PA-TU-8902	0	2
BMS-754807	Afatinib	SW837	0	2
Linsitinib	Trametinib	Hs-766T	0	2
AZD4547	Afatinib	SW1417	0	2
Palbociclib	PF-4708671	HCC1937	0	2
Lapatinib	OSI-027	EFM-192A	0	2
Sapitinib	AZD7762	SNU-C2B	0	2
5-Fluorouracil	Taselisib	PA-TU-8902	0	2
Trametinib	Dabrafenib	SW837	0	2
AZD7762	Paclitaxel	Hs-766T	0	2
LGK974	Oxaliplatin	HT55	0	2
Luminespib	Camptothecin	MDA-MB-361	0	2
Olaparib	OSI-027	PANC-10-05	0	2
Linsitinib	OSI-027	HCC1937	0	2
Lapatinib	SB216763	HCC1419	0	2
Paclitaxel	Palbociclib	PANC-02-03	0	2
Vinorelbine	LGK974	SW48	0	2
Crizotinib	AZD7762	LoVo	0	2
SB505124	SB216763	HT55	1	2
Docetaxel	Cisplatin	EVSA-T	0	2
Olaparib	Trametinib	SW1417	0	2
Taselisib	Alpelisib	EFM-19	0	2
Vorinostat	Palbociclib	HCC1419	0	2
Olaparib	Venetoclax	BT-20	0	2
Navitoclax	SB505124	SW48	1	2
Navitoclax	AZD7762	AsPC-1	1	2
AZD7762	MK-2206	SW48	0	2
SCH772984	SB216763	LS-411N	0	2
Taselisib	Alpelisib	BT-20	0	2
MK-1775	LGK974	SW1463	0	2
Bortezomib	Temozolomide	HCC1419	0	2
Lapatinib	MK-1775	MDA-MB-361	0	2
MK-1775	Oxaliplatin	PANC-10-05	0	2
Taselisib	Linsitinib	PA-TU-8902	0	2
Navitoclax	Afatinib	EFM-19	0	2
AZD7762	Axitinib	EVSA-T	0	2
Luminespib	Sorafenib	HCC1419	0	2
Crizotinib	MK-2206	Hs-766T	1	2
Pictilisib	AZD8055	BT-20	0	2
Pictilisib	SB216763	HCC1419	0	2
Camptothecin	AZD8055	RKO	0	2
Dactolisib	SCH772984	PANC-02-03	0	2
Olaparib	ZM447439	MCF7	0	2
Trametinib	Linsitinib	PANC-03-27	0	2
Olaparib	Venetoclax	EFM-19	0	2
5-Fluorouracil	Olaparib	RKO	0	2
Axitinib	Sapitinib	EFM-192A	0	2
Palbociclib	Temozolomide	MDA-MB-361	0	2
MK-2206	Lapatinib	MDA-MB-361	1	2
Taselisib	AZD7762	EVSA-T	0	2
Navitoclax	Afatinib	SW837	0	2
Palbociclib	Vorinostat	EFM-192A	0	2
Gemcitabine	Lapatinib	PANC-03-27	0	2
Vorinostat	MK-2206	EFM-19	0	2
Linsitinib	Navitoclax	PANC-03-27	0	2
Taselisib	Linsitinib	MDA-MB-361	0	2
Oxaliplatin	AZD7762	PANC-03-27	0	2
Axitinib	NU7441	MCF7	0	2
OSI-027	Nilotinib	EVSA-T	0	2
Palbociclib	AZD7762	EFM-19	0	2
Navitoclax	PD173074	MCF7	0	2
Temozolomide	AZD8055	EVSA-T	0	2
SCH772984	Dabrafenib	RKO	0	2
5-Fluorouracil	LGK974	PANC-10-05	0	2
Temozolomide	Camptothecin	HCC1937	0	2
OSI-027	Navitoclax	HCC1419	0	2
Docetaxel	MK-2206	MDA-MB-361	0	2
5-Fluorouracil	Dactolisib	CAPAN-1	0	2
OSI-027	Dasatinib	PANC-03-27	0	2
Sapitinib	Olaparib	HT55	0	2
5-Fluorouracil	Alisertib	HCC2218	0	2
Taselisib	Crizotinib	MCF7	0	2
Taselisib	Cisplatin	MCF7	0	2
PD173074	Alpelisib	EFM-19	0	2
Temozolomide	Wee1 Inhibitor	EVSA-T	0	2
Pictilisib	SB216763	HCC2218	0	2
MK-2206	Linsitinib	Hs-766T	0	2
Crizotinib	Alisertib	BT-20	0	2
Navitoclax	Temozolomide	EVSA-T	0	2
Sorafenib	Dactolisib	Hs-766T	0	2
Navitoclax	Sorafenib	HCC1937	0	2
Taselisib	Pictilisib	BT-20	0	2
Cisplatin	Taselisib	PANC-02-03	0	2
Paclitaxel	Oxaliplatin	CAPAN-1	0	2
OSI-027	Olaparib	Hs-766T	0	2
Trametinib	MK-1775	PA-TU-8902	0	2
Vorinostat	Linsitinib	EFM-192A	0	2
Cisplatin	MK-1775	MCF7	0	2
MK-2206	Trametinib	EVSA-T	0	2
PD173074	Dabrafenib	MCF7	0	2
Afatinib	AZD4547	SW1463	0	2
Navitoclax	Sorafenib	Hs-766T	0	2
Temozolomide	AZD7762	HCC1937	0	2
MK-1775	Taselisib	HCC1937	0	2
5-Fluorouracil	MK-1775	Hs-766T	0	2
PD173074	Cisplatin	EFM-192A	0	2
Palbociclib	Gemcitabine	HCC1419	0	2
MK-2206	Axitinib	EVSA-T	0	2
Linsitinib	Camptothecin	HT55	0	2
Docetaxel	Lapatinib	EFM-192A	0	2
Crizotinib	Docetaxel	BT-20	0	2
MK-1775	Lapatinib	HCC2218	0	2
Bortezomib	Wee1 Inhibitor	HCC1937	0	2
SCH772984	Vinorelbine	SW837	0	2
Docetaxel	Paclitaxel	EVSA-T	0	2
Sapitinib	Crizotinib	HT55	0	2
Trametinib	RO-3306	HCC1937	0	2
Afatinib	Oxaliplatin	SNU-C2B	0	2
Linsitinib	Uprosertib	BT-20	0	2
Cisplatin	Olaparib	AsPC-1	0	2
Linsitinib	KU-55933	EVSA-T	0	2
LGK974	Dasatinib	PA-TU-8902	0	2
MK-2206	Paclitaxel	PA-TU-8902	0	2
Ruxolitinib	Lapatinib	CAPAN-1	0	2
PD173074	Sorafenib	HCC1937	0	2
Temozolomide	Alisertib	HCC1937	0	2
Navitoclax	MK-2206	PA-TU-8902	0	2
Olaparib	Camptothecin	SW1417	0	2
Cisplatin	Sorafenib	HCC1419	0	2
Olaparib	OSI-027	Hs-766T	0	2
OSI-027	Olaparib	PANC-03-27	0	2
Palbociclib	Trametinib	PANC-10-05	0	2
SB216763	Dabrafenib	LoVo	0	2
Vorinostat	Ribociclib	MCF7	1	2
Palbociclib	PF-4708671	MCF7	0	2
Trametinib	Taselisib	LS-411N	1	2
Navitoclax	RO-3306	HCC1419	0	2
Pictilisib	Gemcitabine	EVSA-T	0	2
PD173074	Venetoclax	BT-20	0	2
LGK974	Sapitinib	LoVo	0	2
Ruxolitinib	Dactolisib	AsPC-1	0	2
Erlotinib	LGK974	PANC-02-03	0	2
Lapatinib	Crizotinib	PA-TU-8902	0	2
Navitoclax	Pictilisib	EFM-192A	1	2
Olaparib	Linsitinib	RKO	0	2
SB216763	Oxaliplatin	SW1463	0	2
Navitoclax	Vinorelbine	LoVo	0	2
Lapatinib	Oxaliplatin	CAPAN-1	0	2
Linsitinib	Taselisib	EFM-19	0	2
MK-2206	Galunisertib	PANC-03-27	0	2
Navitoclax	Oxaliplatin	PANC-03-27	0	2
Palbociclib	Alpelisib	MDA-MB-361	0	2
Crizotinib	JQ1	HCC1937	0	2
AZD7762	SB505124	LoVo	0	2
Lapatinib	Ribociclib	MDA-MB-361	0	2
Lapatinib	Pictilisib	HCC1937	0	2
SB505124	AZD4547	SW1463	0	2
Linsitinib	Cisplatin	PA-TU-8902	0	2
AZD7762	Navitoclax	Hs-766T	0	2
Bortezomib	Ribociclib	MCF7	0	2
Crizotinib	Ruxolitinib	PANC-03-27	0	2
Gemcitabine	Wee1 Inhibitor	MCF7	0	2
LGK974	Dabrafenib	SW48	0	2
Gemcitabine	Dabrafenib	MCF7	0	2
Navitoclax	Docetaxel	BT-20	1	2
LGK974	Gemcitabine	PANC-02-03	0	2
Palbociclib	Luminespib	EVSA-T	0	2
Linsitinib	SCH772984	RKO	1	2
AZD7762	BMS-754807	SW1463	0	2
OSI-027	SB216763	BT-20	0	2
Gemcitabine	Sapitinib	BT-20	0	2
OSI-027	Vorinostat	HCC1937	0	2
AZD4547	MK-2206	SW1417	0	2
AZD8055	Linsitinib	HT55	0	2
Paclitaxel	Lapatinib	CAPAN-1	0	2
Vorinostat	JQ1	HCC1419	1	2
MK-1775	Cisplatin	EVSA-T	0	2
MK-2206	Navitoclax	HCC1937	0	2
Ruxolitinib	AZD7762	PANC-10-05	0	2
Palbociclib	Trametinib	SW1417	0	2
Bortezomib	Sapitinib	BT-20	0	2
Palbociclib	Dabrafenib	RKO	0	2
Dabrafenib	SB505124	HT55	0	2
Lapatinib	5-Fluorouracil	MCF7	0	2
Dactolisib	Paclitaxel	Hs-766T	0	2
PD173074	Linsitinib	HCC1419	0	2
Taselisib	Sapitinib	HCC1419	0	2
Axitinib	Pictilisib	EVSA-T	0	2
Navitoclax	Dabrafenib	HCC1419	0	2
Vorinostat	AZD8055	BT-20	0	2
Taselisib	Crizotinib	HCC2218	0	2
OSI-027	Navitoclax	EFM-19	1	2
Taselisib	LGK974	PA-TU-8902	0	2
Oxaliplatin	Sorafenib	Hs-766T	0	2
MK-2206	Sorafenib	MDA-MB-361	0	2
PD173074	Paclitaxel	MCF7	0	2
Taselisib	Galunisertib	PA-TU-8902	0	2
Pictilisib	ZM447439	HCC2218	0	2
Trametinib	Doramapimod	EFM-19	0	2
AZD7762	MK-2206	PA-TU-8902	0	2
Bortezomib	BI-2536	BT-20	0	2
Gemcitabine	Temozolomide	MCF7	0	2
Olaparib	Crizotinib	SW48	0	2
AZD7762	Cisplatin	MCF7	0	2
AZD7762	Taselisib	PA-TU-8902	0	2
Olaparib	SB505124	SW48	0	2
Luminespib	Gemcitabine	EFM-19	0	2
AZD7762	Axitinib	MDA-MB-361	0	2
Vorinostat	Ribociclib	EVSA-T	0	2
Axitinib	MK-1775	BT-20	0	2
MK-2206	Nilotinib	HCC2218	0	2
Palbociclib	Uprosertib	HCC2218	0	2
Crizotinib	Trametinib	HT55	0	2
Oxaliplatin	Crizotinib	SW1463	0	2
AZD7762	Wee1 Inhibitor	HCC2218	0	2
Vinorelbine	Dabrafenib	LS-411N	1	2
Palbociclib	Sapitinib	HCC1937	0	2
Gemcitabine	PD173074	HCC2218	0	2
Sapitinib	Camptothecin	MDA-MB-361	0	2
Crizotinib	SCH772984	BT-20	0	2
MK-2206	Taselisib	PANC-10-05	0	2
Navitoclax	Ruxolitinib	AsPC-1	0	2
Galunisertib	AZD7762	AsPC-1	0	2
Pictilisib	5-Fluorouracil	HCC2218	0	2
Olaparib	JQ1	EVSA-T	0	2
Sapitinib	SB216763	SW48	0	2
SB216763	SCH772984	SNU-C2B	0	2
Lapatinib	RO-3306	HCC1419	0	2
AZD7762	Nilotinib	BT-20	0	2
Taselisib	MK-1775	PANC-10-05	0	2
Cisplatin	Paclitaxel	EVSA-T	0	2
Crizotinib	Linsitinib	MDA-MB-361	0	2
Pictilisib	Tozasertib	MCF7	1	2
Gemcitabine	MK-2206	CAPAN-1	0	2
Olaparib	Trametinib	SNU-C2B	0	2
Erlotinib	Galunisertib	PANC-02-03	0	2
Trametinib	ZM447439	EVSA-T	0	2
AZD8055	SB505124	SW1463	0	2
PD173074	Navitoclax	HCC2218	0	2
MK-2206	LGK974	Hs-766T	0	2
MK-2206	Pictilisib	MCF7	0	2
Navitoclax	AZD8055	MCF7	0	2
Axitinib	MK-2206	BT-20	0	2
Temozolomide	PD173074	EVSA-T	0	2
Linsitinib	Palbociclib	HT55	0	2
Trametinib	Navitoclax	AsPC-1	0	2
Galunisertib	SCH772984	PANC-02-03	0	2
OSI-027	Uprosertib	EFM-19	0	2
Dactolisib	Sorafenib	Hs-766T	0	2
Linsitinib	Axitinib	MCF7	0	2
Oxaliplatin	Trametinib	HT55	0	2
OSI-027	Palbociclib	PANC-03-27	0	2
AZD7762	Sorafenib	HCC1937	0	2
Palbociclib	AZD7762	EFM-192A	0	2
Linsitinib	Tozasertib	EFM-192A	0	2
AZD7762	Sorafenib	HCC1419	0	2
Paclitaxel	Oxaliplatin	AsPC-1	0	2
Taselisib	ZM447439	MDA-MB-361	1	2
Bortezomib	ZM447439	MCF7	0	2
Vorinostat	RO-3306	MCF7	0	2
Gemcitabine	Paclitaxel	CAPAN-1	0	2
Sapitinib	Temozolomide	EFM-192A	0	2
AZD8055	Taselisib	SW1463	0	2
Axitinib	GSK269962A	HCC2218	0	2
Navitoclax	Oxaliplatin	LS-411N	0	2
Bortezomib	Sorafenib	EFM-192A	0	2
MK-1775	PF-4708671	MDA-MB-361	0	2
Bortezomib	Entinostat	BT-20	0	2
Vinorelbine	Linsitinib	SW48	0	2
MK-2206	Trametinib	HCC1419	0	2
Bortezomib	Doramapimod	HCC1419	0	2
Luminespib	Taselisib	EFM-192A	0	2
Olaparib	MK-2206	EVSA-T	0	2
Oxaliplatin	AZD8055	LoVo	0	2
LGK974	Navitoclax	PANC-10-05	0	2
Camptothecin	MK-2206	SNU-C2B	0	2
Lapatinib	AZD7762	EVSA-T	0	2
MK-2206	Gemcitabine	PANC-03-27	0	2
5-Fluorouracil	Olaparib	PA-TU-8902	0	2
AZD7762	Linsitinib	HT55	0	2
Linsitinib	Paclitaxel	HCC2218	0	2
Temozolomide	Alisertib	EFM-19	0	2
OSI-027	Olaparib	EFM-19	0	2
Paclitaxel	MK-2206	PA-TU-8902	0	2
Bortezomib	Taselisib	HCC1937	0	2
Dasatinib	Taselisib	Hs-766T	0	2
Pictilisib	Uprosertib	HCC1419	0	2
Gemcitabine	AZD7762	HCC1937	0	2
Docetaxel	Uprosertib	MCF7	0	2
MK-2206	Crizotinib	BT-20	0	2
Bortezomib	MK-2206	MDA-MB-361	0	2
PD173074	Lapatinib	BT-20	0	2
5-Fluorouracil	Entinostat	MDA-MB-361	0	2
Olaparib	LGK974	RKO	0	2
Crizotinib	5-Fluorouracil	SW1417	0	2
SB216763	Navitoclax	LoVo	0	2
AZD7762	MK-2206	EVSA-T	0	2
AZD4547	AZD8055	SW837	0	2
Taselisib	Olaparib	PANC-10-05	0	2
Gemcitabine	Trametinib	PA-TU-8902	0	2
Erlotinib	5-Fluorouracil	PANC-03-27	0	2
Crizotinib	PD173074	MDA-MB-361	0	2
Olaparib	PD173074	HCC1937	0	2
Paclitaxel	Palbociclib	PANC-10-05	0	2
Trametinib	Doramapimod	HCC2218	0	2
Navitoclax	Oxaliplatin	PANC-02-03	1	2
Trametinib	Gemcitabine	EFM-19	0	2
BMS-754807	SCH772984	RKO	1	2
Gemcitabine	Camptothecin	MDA-MB-361	0	2
Lapatinib	Alpelisib	EFM-192A	0	2
SCH772984	Palbociclib	CAPAN-1	0	2
Cisplatin	SB216763	EVSA-T	0	2
Trametinib	AZD4547	SW1417	0	2
Axitinib	Sapitinib	HCC1419	0	2
Olaparib	Ribociclib	MDA-MB-361	0	2
Dasatinib	Galunisertib	AsPC-1	0	2
5-Fluorouracil	Lapatinib	Hs-766T	0	2
AZD7762	5-Fluorouracil	HCC2218	0	2
Paclitaxel	Lapatinib	AsPC-1	0	2
Navitoclax	Ribociclib	EFM-19	0	2
Erlotinib	Sorafenib	PA-TU-8902	0	2
Afatinib	Oxaliplatin	SW1463	0	2
MK-1775	Taselisib	PANC-03-27	0	2
Docetaxel	MK-1775	EFM-192A	0	2
AZD7762	Sapitinib	SW1463	0	2
Trametinib	Palbociclib	HCC1937	0	2
Sapitinib	Vorinostat	HCC1937	0	2
Taselisib	Cisplatin	AsPC-1	0	2
